section_index,section_name,section_desc,section_count_label,item_index,item_name,item_badge,item_desc,image_alt,image_path,image_url,has_image,duplicate_index,duplicate_suffix,local_path,download_status
1,小屋,农场小屋外观,2 个,1,默认小屋,默认,默认装扮,默认小屋,/images/extraRes/gui/texture/skinDetail/img_skin_house.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_house.png,True,1,,小屋/默认小屋.png,downloaded
1,小屋,农场小屋外观,2 个,2,南瓜小屋,活动,【南瓜乐翻天】活动限定装扮，可在【装扮】功能中进行装备。,南瓜小屋,/images/extraRes/gui/texture/skinDetail/img_skin_house_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_house_1.png,True,1,,小屋/南瓜小屋.png,downloaded
2,木牌,门牌与提示木牌,2 个,1,默认木牌,默认,默认装扮,默认木牌,/images/extraRes/gui/texture/skinDetail/img_skin_board.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_board.png,True,1,,木牌/默认木牌.png,downloaded
2,木牌,门牌与提示木牌,2 个,2,南瓜木牌,活动,【南瓜乐翻天】活动限定装扮，可在【装扮】功能中进行装备。,南瓜木牌,/images/extraRes/gui/texture/skinDetail/img_skin_board_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_board_1.png,True,1,,木牌/南瓜木牌.png,downloaded
3,栅栏,农场边界装饰,2 个,1,默认栅栏,默认,默认装扮,默认栅栏,/images/extraRes/gui/texture/skinDetail/img_skin_barrier.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_barrier.png,True,1,,栅栏/默认栅栏.png,downloaded
3,栅栏,农场边界装饰,2 个,2,南瓜栅栏,活动,【南瓜乐翻天】活动限定装扮，可在【装扮】功能中进行装备。,南瓜栅栏,/images/extraRes/gui/texture/skinDetail/img_skin_barrier_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_barrier_1.png,True,1,,栅栏/南瓜栅栏.png,downloaded
4,盆栽,盆栽与塔类摆件,3 个,1,默认盆栽,默认,默认装扮,,,,False,1,,,no_image
4,盆栽,盆栽与塔类摆件,3 个,2,哈哈南瓜塔,活动,卖给商人后，可以获得金币。,哈哈南瓜塔,/images/extraRes/gui/texture/skinDetail/img_skin_tower_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_tower_1.png,True,1,,盆栽/哈哈南瓜塔.png,downloaded
4,盆栽,盆栽与塔类摆件,3 个,3,黄金·哈哈南瓜塔,黄金,卖给商人后，可以获得金豆豆。,黄金·哈哈南瓜塔,/images/extraRes/gui/texture/skinDetail/img_skin_tower_1_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_tower_1_1.png,True,1,,盆栽/黄金·哈哈南瓜塔.png,downloaded
5,仓库,仓库外观,2 个,1,默认仓库,默认,默认装扮,默认仓库,/images/extraRes/gui/texture/skinDetail/img_skin_warehouse.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_warehouse.png,True,1,,仓库/默认仓库.png,downloaded
5,仓库,仓库外观,2 个,2,哈哈南瓜仓库,活动,【南瓜乐翻天】活动限定装扮，可在【装扮】功能中进行装备。,哈哈南瓜仓库,/images/extraRes/gui/texture/skinDetail/img_skin_warehouse_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_warehouse_1.png,True,1,,仓库/哈哈南瓜仓库.png,downloaded
6,道路,道路地面装饰,2 个,1,默认道路,默认,默认装扮,默认道路,/images/extraRes/gui/texture/skinDetail/img_skin_road.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_road.png,True,1,,道路/默认道路.png,downloaded
6,道路,道路地面装饰,2 个,2,哈哈南瓜道路,活动,【南瓜乐翻天】活动限定装扮，可在【装扮】功能中进行装备。,哈哈南瓜道路,/images/extraRes/gui/texture/skinDetail/img_skin_road_1.png,https://jsq.gptvip.chat/images/extraRes/gui/texture/skinDetail/img_skin_road_1.png,True,1,,道路/哈哈南瓜道路.png,downloaded
